Date,Nucleaire,Gaz,Charbon,Biomasse,Fioul,Hydro,STEP Pompage,STEP Turbinage,Batterie Injection,Batterie Soutirage,RES,Charge Nette
2020-01-01 00:00:00,4700.1630789302,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2820,8255
2020-01-01 01:00:00,4732.163078930201,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486,8287
2020-01-01 02:00:00,4770.0,3555.0,0.0,0.0,0.0,745.1630789301998,0.0,0.0,0.0,0.0,1361,9070
2020-01-01 03:00:00,4770.0,3554.9999999999995,0.0,0.0,0.0,397.16307893020166,0.0,0.0,0.0,0.0,1243,8722
2020-01-01 04:00:00,4790.1630789302,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1482,8345
2020-01-01 05:00:00,5242.1630789302,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319,8797
2020-01-01 06:00:00,5550.163078930201,3554.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1603,9105
2020-01-01 07:00:00,4770.0,3555.0,0.0,0.0,0.0,1201.1630789301998,0.0,0.0,0.0,0.0,1669,9526
2020-01-01 08:00:00,4770.0,3554.999999999999,0.0,0.0,0.0,648.1630789302009,0.0,0.0,0.0,0.0,2507,8973
2020-01-01 09:00:00,4770.0,3555.0,0.0,0.0,0.0,836.1630789301998,0.0,0.0,0.0,0.0,2551,9161
2020-01-01 10:00:00,4770.0,3554.999999999999,0.0,0.0,0.0,549.1630789302009,0.0,0.0,0.0,0.0,2968,8874
2020-01-01 11:00:00,4770.0,3555.0,0.0,0.0,0.0,225.16307893019984,0.0,0.0,0.0,0.0,3427,8550
2020-01-01 12:00:00,4770.0,3554.9999999999995,0.0,0.0,0.0,132.16307893020166,0.0,0.0,0.0,0.0,3743,8457
2020-01-01 13:00:00,4424.163078930202,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3793,7979
2020-01-01 14:00:00,3871.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3979,7426
2020-01-01 15:00:00,3706.1630789302026,3554.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3886,7261
2020-01-01 16:00:00,3834.1630789302017,3555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3680,7389
2020-01-01 17:00:00,4602.163078930203,3554.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443,8157
2020-01-01 18:00:00,4770.0,3555.0,0.0,0.0,0.0,805.1630789301998,0.0,0.0,0.0,0.0,2941,9130
2020-01-01 19:00:00,4770.0,3554.999999999999,0.0,0.0,0.0,1403.1630789302008,0.0,0.0,0.0,0.0,2376,9728
